Timestamp,Date,Ethereum,Fantom,BSC,Avalanche,Polygon,Arbitrum,Cronos,Harmony,Klaytn,Heco,Ronin,Celo,Aurora,Astar,Moonriver,Optimism,Metis,Mixin,IoTeX,Moonbeam,Gnosis,Telos,Fusion,OKExChain,RSK,Godwoken,Theta,Boba,Oasis,Songbird,Wanchain,KCC,smartBCH,Fuse,Velas,Kardia,Shiden,CSC,Elastos,Callisto,Nahmii,ThunderCore,Meter,EnergyWeb,TomoChain,XDC,Polis,Ubiq,ZYX,Hoo,GoChain,HPB,Liquidchain,Palm,EthereumClassic
1605398400,15/11/2020,13924057448.65842,,49405386.7,,605354.1664133526,,,,,,,187310984.32232192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605484800,16/11/2020,13881209901.973646,,50307314.73,,547175.8035157602,,,,,,,194368134.39852744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605571200,17/11/2020,13960649720.25235,,53024196.57,,559909.737882333,,,,,,,190034678.75257924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605657600,18/11/2020,13573537151.053444,,57720724.4,,571830.0545869045,,,,,,,189173214.3563707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605744000,19/11/2020,13852666633.793594,,54573741.98,,569665.9113520834,,,,,,,184856893.56553152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605830400,20/11/2020,13827340917.212278,,54663058.33,,589737.0769416216,,,,,,,181952733.27226865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605916800,21/11/2020,14553850008.114447,,57646006.17,,597983.3573658083,,,,,,,185635278.50939402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606003200,22/11/2020,14476483179.654123,,57877959.55,,558301.4278671622,,,,,,,191040801.39507458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606089600,23/11/2020,14519685691.951303,,52264131.29,,572962.5651040056,,,,,,,187401802.25957447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606176000,24/11/2020,14594175125.001747,,57022306.28712386,,585772.7215872034,,,,,,,207988924.25679213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
